race_id,race_title,race_no,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir
R8,4:40 pm Vinery Country Cup - Benchmark 84 Handicap,8,4,4,Hot Bandit,Hot Bandit,Hot Bandit,2,Luke Pepper,Brodie Loy,$31,7.3
R8,4:40 pm Vinery Country Cup - Benchmark 84 Handicap,8,5,5,Taipan Legend,Taipan Legend,Taipan Legend,19,Cameron Crockett,Mikayla Weir,$51,3.8
R8,4:40 pm Vinery Country Cup - Benchmark 84 Handicap,8,6,6,Rajnish,Rajnish,Rajnish,13,Cameron Crockett,Liberty Smyth (a-2),$71,5.7
R8,4:40 pm Vinery Country Cup - Benchmark 84 Handicap,8,7,7,Hell Of A Fox,Hell Of A Fox,Hell Of A Fox,5,Luke Pepper,Jay Ford,$17,8.7
R8,4:40 pm Vinery Country Cup - Benchmark 84 Handicap,8,8,8,Hulu,Hulu,Hulu,20,Cameron Crockett,Aaron Bullock (a0.5),$27,7.2
R8,4:40 pm Vinery Country Cup - Benchmark 84 Handicap,8,9,9,Kranich,Kranich,Kranich,14,Michael Mulholland,Jacob Stiff (a-2),$15,7.6
R8,4:40 pm Vinery Country Cup - Benchmark 84 Handicap,8,10,10,Poisen Point,Poisen Point,Poisen Point,11,Brett Robb,Izzy Neale (a-1.5),$4.6,8.7
R8,4:40 pm Vinery Country Cup - Benchmark 84 Handicap,8,11,11,A Pound Of Salt,A Pound Of Salt,A Pound Of Salt,7,Todd Howlett,Zac Lloyd,$27,8.3
R8,4:40 pm Vinery Country Cup - Benchmark 84 Handicap,8,12,12,New Pharoah,New Pharoah,New Pharoah,17,Brett & Georgie Cavanough,Jason Collett,$12,5.9
R8,4:40 pm Vinery Country Cup - Benchmark 84 Handicap,8,13,13,Danza In The Dark,Danza In The Dark,Danza In The Dark,10,Stephen Meyer,Rory Hutchings (a1),$151,6.6
R8,4:40 pm Vinery Country Cup - Benchmark 84 Handicap,8,14,14,Full Regalia,Full Regalia,Full Regalia,9,Karen Owen,Madeline Owen,$51,3.1
R8,4:40 pm Vinery Country Cup - Benchmark 84 Handicap,8,15,15,Shotgun Bella,Shotgun Bella,Shotgun Bella,4,Nathan Doyle,Kerrin McEvoy,$3.4,4.3
R8,4:40 pm Vinery Country Cup - Benchmark 84 Handicap,8,16,16,Unreachable,Unreachable,Unreachable,6,Jeremy Sylvester,Dylan Gibbons,$35,5.6
R8,4:40 pm Vinery Country Cup - Benchmark 84 Handicap,8,17,17,Solitario,Solitario,Solitario,15,Paul Messara & Leah Gavranich,Tyler Schiller,$7,7.8
R8,4:40 pm Vinery Country Cup - Benchmark 84 Handicap,8,18,18,Wanda River,Wanda River,Wanda River,12,,Sue Grills,$101,7.2
R8,4:40 pm Vinery Country Cup - Benchmark 84 Handicap,8,19,19,Adolphus,Adolphus,Adolphus,16,Matthew Dale,Braith Nock,$21,2.6
R8,4:40 pm Vinery Country Cup - Benchmark 84 Handicap,8,20,20,Red Rags To Bulls,Red Rags To Bulls,Red Rags To Bulls,1,,Jeremy Gask,$14,9.4
